TIMESTAMP,SRC,DST,DIRECTION,IP_TOS,DF,MF,IP_TTL,TCP_SPORT,TCP_DPORT,TCP_SEQ,TCP_ACK,TCP_RESERVED,FPA,FA,A,S,SA,PA,R,RA,TCP_WINDOW,TCP_MSS,TCP_NOP,TCP_WSCALE,TYPE
2023-01-06 12:34:49.149871+05:30,17231236,13232215248,1,0,1,0,64,80,58560,1836962589,3550252161,0,0,1,0,0,0,0,0,0,489,,,,0
2023-01-06 12:34:49.149937+05:30,13232215248,17231236,0,0,1,0,63,58560,80,3550252161,1836962589,0,0,0,1,0,0,0,0,0,477,,,,0
2023-01-06 12:34:49.150011+05:30,13232215248,17231236,0,0,1,0,63,58560,80,3550252161,1836962590,0,0,1,0,0,0,0,0,0,477,,,,0
2023-01-06 12:34:49.150078+05:30,17231236,13232215248,1,0,1,0,64,80,58560,1836962590,3550252162,0,0,0,1,0,0,0,0,0,489,,,,0
2023-01-06 12:34:49.150145+05:30,132326072,17231236,0,0,1,0,63,58958,80,2985754163,0,0,0,0,0,1,0,0,0,0,62727,1460.0,,7.0,0
2023-01-06 12:34:49.150249+05:30,17231236,132326072,1,0,1,0,64,80,58958,4067046327,2985754164,0,0,0,0,0,1,0,0,0,62643,8961.0,,7.0,0
2023-01-06 12:34:49.150451+05:30,132326072,17231236,0,0,1,0,63,58958,80,2985754164,4067046328,0,0,0,1,0,0,0,0,0,491,,,,0
2023-01-06 12:34:49.150534+05:30,132326072,17231236,0,0,1,0,63,58958,80,2985754164,4067046328,0,0,0,0,0,0,1,0,0,491,,,,0
2023-01-06 12:34:49.150610+05:30,17231236,132326072,1,0,1,0,64,80,58958,4067046328,2985754312,0,0,0,1,0,0,0,0,0,489,,,,0
2023-01-06 12:34:49.150686+05:30,17231236,132326072,1,0,1,0,64,80,58958,4067046328,2985754312,0,0,0,0,0,0,1,0,0,489,,,,0
2023-01-06 12:34:49.150760+05:30,132326072,17231236,0,0,1,0,63,58958,80,2985754312,4067046352,0,0,0,1,0,0,0,0,0,491,,,,0
2023-01-06 12:34:49.150828+05:30,17231236,132326072,1,0,1,0,64,80,58958,4067046352,2985754312,0,0,0,0,0,0,1,0,0,489,,,,0
2023-01-06 12:34:49.150907+05:30,17231236,132326072,1,0,1,0,64,80,58958,4067046491,2985754312,0,1,0,0,0,0,0,0,0,489,,,,0
2023-01-06 12:34:49.150972+05:30,132326072,17231236,0,0,1,0,63,58958,80,2985754312,4067046491,0,0,0,1,0,0,0,0,0,490,,,,0
2023-01-06 12:34:49.151039+05:30,132326072,17231236,0,0,1,0,63,58958,80,2985754312,4067047832,0,0,0,1,0,0,0,0,0,480,,,,0
2023-01-06 12:34:49.151105+05:30,132326072,17231236,0,0,1,0,63,58958,80,2985754312,4067047832,0,0,1,0,0,0,0,0,0,480,,,,0
2023-01-06 12:34:49.151171+05:30,17231236,132326072,1,0,1,0,64,80,58958,4067047832,2985754313,0,0,0,1,0,0,0,0,0,489,,,,0
2023-01-06 12:34:49.151237+05:30,13232215248,17231236,0,0,1,0,63,45188,80,4287983128,0,0,0,0,0,1,0,0,0,0,62727,1460.0,,7.0,0
2023-01-06 12:34:49.151307+05:30,17231236,13232215248,1,0,1,0,64,80,45188,2986053097,4287983129,0,0,0,0,0,1,0,0,0,62643,8961.0,,7.0,0
