SOFTMAX,TRAIN DATA LENGTH,TRAIN TIME,TOTAL LOSS,TEST DATALOADER LENGTH,VALIDATION TIME,ACCURACY
OFF,1,915.0,0.416,4,521.5,68.971
ON,1,2053.6,0.538,4,523.25,79.405
